wavelengths_angstrom spec1d_cal_photlam spec1d_cal_opt_photlam
7374.791035992961 -inf 
7394.17762234939 0.0005834610357419725 4.298992221324373e-05
7413.5642087058195 2.6347063016075185e-06 6.26352991872831e-05
7432.950795062248 6.357766444867748e-06 2.01882860207247e-05
7452.337381418678 1.5117539664442903e-06 1.147828363520225e-06
7471.723967775106 -2.6505216096144874e-08 5.628257881393889e-07
7491.110554131535 2.937674382054848e-07 -1.088114499733963e-07
7510.497140487964 -1.0817595435390436e-07 9.772056808437253e-08
7529.883726844393 -5.823821265677543e-08 6.442165245164411e-09
7549.270313200822 -1.6129176359713496e-07 -4.493081420665162e-08
7568.656899557251 -5.120337431554473e-08 -5.865351609372105e-08
7589.528384997835 9.152484629667659e-08 -3.5095721501129327e-09
7610.510401664309 1.2342303716423866e-07 -4.357252002815329e-09
7631.492418330783 -1.1085533912277334e-07 -1.514124981750979e-08
7652.474434997257 -5.530599136242711e-08 -7.324965492028207e-08
7673.45645166373 7.891643966368165e-08 -3.169568705085878e-08
7694.438468330205 2.120552879339847e-08 -5.3756479474605384e-08
7715.420484996678 -1.708597101021808e-08 -1.3327242344463112e-08
7736.402501663152 4.2316635754496325e-08 5.367686158647902e-08
7757.384518329627 -5.127154872009902e-08 -2.6873018448914764e-08
7779.81456840789 -7.91401133785392e-08 -3.8411758295118815e-08
7802.45082531 5.581138636493463e-08 1.9756635475352983e-08
7825.0870822121105 -6.917198985822222e-08 -2.985405372171323e-08
7847.723339114223 -6.707503081440065e-08 1.583159168476517e-08
7870.359596016333 3.912588344034758e-08 1.8360020780584572e-08
7892.995852918443 2.078497248139646e-08 -1.8769306147945328e-08
7915.6321098205535 6.393924509119289e-09 7.745719139183933e-10
7938.268366722665 7.431258547602565e-08 7.011203748812787e-09
7961.720864808499 -5.8009613121287965e-08 -2.001774194747962e-09
7986.051508033752 -5.938691596254923e-08 2.617688205880289e-10
8010.382151259005 1.170674247771097e-07 5.415782729212938e-08
8034.712794484259 -8.246966861575315e-09 -7.484129052472499e-09
8059.043437709512 -9.376646742328193e-08 -8.484327188742926e-09
8083.3740809347655 -5.813095044329136e-08 -4.784363080143775e-08
8107.7047241600185 -1.6634259546382856e-08 -3.5287480542635846e-08
8132.0353673852715 -6.470461721386342e-09 -8.978842313986387e-09
8157.5411388054235 1.1971501254914858e-10 1.008937221076982e-08
8183.618794514928 -1.4705064085186617e-08 -1.8703529559237514e-08
8209.696450224432 2.8169113869211878e-08 4.0904490047640704e-08
8235.774105933937 -8.697604172846464e-08 -1.963605396176436e-08
8261.851761643442 -7.861254710185712e-08 -3.766965437312177e-08
8287.929417352947 2.6099699577708977e-08 -1.8737778217364643e-08
8314.007073062452 -1.1144224677773061e-07 -1.628974551702946e-08
8340.779419980958 -7.277438185046157e-08 -4.610990913403194e-08
8368.653447073608 9.175121353949231e-08 -1.725550131362841e-08
8396.527474166258 5.5334354918386465e-08 3.097672011844461e-08
8424.401501258908 9.985963846738392e-09 -2.377628598815926e-08
8452.275528351558 -2.946145646536491e-08 -3.7478414386673346e-08
8480.149555444208 -6.964565992057707e-08 -7.553562813059198e-08
8508.023582536858 1.2070790622040306e-07 9.821036840907791e-08
8536.948629840066 2.6235273607282946e-09 6.05553638236835e-10
8566.665460128088 -8.456282761776749e-08 -5.599252402385516e-08
8596.382290416112 -6.753219245349186e-08 -6.078612216935973e-09
8626.099120704133 -5.300523758817443e-09 4.231800600237226e-09
8655.815950992155 -3.0474461891602805e-08 6.05659115291771e-09
8685.532781280179 5.257878447388262e-08 3.790529057337401e-08
8715.58279095689 7.389969608073669e-10 -6.351471870644768e-08
8747.18567228327 -2.2600839915817303e-08 -6.936422962050983e-09
8778.788553609651 4.952032876016181e-10 -2.096941905130573e-09
8810.391434936031 -5.1273335508428016e-08 -3.113801071659635e-08
8841.994316262411 -9.438772913973475e-08 -3.640246678359121e-08
8873.597197588791 -1.3004947514471713e-10 1.7903982992175848e-08
8905.516713029356 1.928452396962932e-08 -1.0797596590835031e-08
8939.043901755234 -1.6811668224464014e-08 -3.226407985861808e-08
8972.571090481115 2.5502776020195606e-08 -8.774201882503712e-09
9006.098279206995 -2.322837488553995e-08 9.87374279730944e-09
9039.625467932874 2.3762222384434717e-08 2.3486374952261613e-08
9073.152656658754 -8.533496462439557e-09 -1.7497770205636682e-08
9107.654489510089 3.8220207554959963e-08 -8.396778290935268e-09
9143.14075380179 5.075334079288284e-08 3.311518272141447e-08
9178.62701809349 -8.0443400640341e-11 -2.3743423697042416e-08
9214.113282385191 -2.110935804366053e-08 -8.750498564503692e-09
9249.599546676893 4.6690150345474085e-08 2.1437270511025038e-08
9285.370783197284 -6.144583102665903e-08 -4.7014687781198334e-08
9322.845442237749 2.5459483062623308e-08 3.634363249816829e-08
9360.320101278212 -1.8203887062785072e-08 -1.922706742267505e-08
9397.794760318675 -9.057330391352235e-08 -4.049042563708405e-08
9435.26941935914 2.631323332826999e-09 -1.791199648391055e-08
9472.891497863206 3.691068460909524e-08 4.4364481103055525e-08
9512.379398994433 5.161285853734655e-08 3.270497504243426e-08
9551.867300125663 3.0341328040138475e-08 1.3704872910120196e-08
9591.35520125689 4.857985370239631e-08 5.914305709846302e-08
9630.84310238812 5.821953651159294e-08 8.078736396406745e-09
9670.862791410436 1.958419458356923e-08 -1.860531122574157e-09
9712.383330283654 -4.4353085528986016e-08 -2.2209683304482432e-09
9753.903869156871 -1.8139397390935715e-09 -1.2312421666663496e-08
9795.42440803009 5.6359634527010705e-09 -1.8434259029342053e-08
9836.94494690331 2.0144112320331957e-08 3.966234585387264e-08
9879.869542394885 8.94701528992348e-08 6.92200355631536e-08
9923.438076790131 1.0039704581514226e-07 4.4908712102815165e-08
9967.00661118538 3.183667173383233e-07 2.993643595129333e-07
10010.575145580628 1.5742458559108976e-06 1.5742198214157506e-06
10054.81134367273 2.350936526546706e-06 2.6140642406048586e-06
10100.436565492366 2.2827701434500436e-06 2.620492904293271e-06
10146.061787312 2.3282619190221434e-06 2.7353363564309717e-06
10191.687009131634 2.35139403879349e-06 2.69322640628549e-06
10237.642429083537 2.262984061146613e-06 2.5884070325556373e-06
10285.327947292817 2.1111595281502682e-06 2.392351845852606e-06
10333.013465502097 1.7688829263634788e-06 2.057272253590875e-06
10380.698983711378 2.1159080361657684e-06 2.455620102625578e-06
10428.746454945256 2.0498442957212038e-06 2.3212479901588764e-06
10478.490523287712 2.152389539398963e-06 2.4464582137723574e-06
10528.234591630167 2.1800181524525664e-06 2.5224804329197246e-06
10577.978659972623 2.0654099630780613e-06 2.356708562653895e-06
10628.45378746175 1.9853918176168754e-06 2.284016593967026e-06
10680.249789090549 1.963017147271153e-06 2.24601277872102e-06
10732.045790719347 2.0050321821555177e-06 2.3081308090005178e-06
10783.841792348141 2.202947814174249e-06 2.506178067502988e-06
10837.04130168509 2.135218130642888e-06 2.455197799628795e-06
10890.877162671748 2.1368892361473055e-06 2.4194636572633926e-06
10944.713023658403 2.0179694216762083e-06 2.371331985405637e-06
10998.870022808447 1.7900958622559766e-06 2.117799677886363e-06
11054.728223578515 2.015617035011643e-06 2.2615062189859093e-06
11110.586424348583 1.9828312212575907e-06 2.2272222146948685e-06
11166.44462511865 2.0583028272775405e-06 2.3459590344028572e-06
11223.816787648322 1.9819807496291614e-06 2.2616442558987585e-06
11281.674078979113 1.9660529208545097e-06 2.229240114426256e-06
11339.531370309905 1.964360989948071e-06 2.2742148344382637e-06
11398.32198184683 1.9461120367799716e-06 2.201131783101896e-06
11458.150869299387 1.7257278948198853e-06 2.0051379780402764e-06
11517.979756751944 1.9156532256800736e-06 2.1256702303273414e-06
11578.385655930777 1.8018197745417892e-06 2.056239860754814e-06
11640.15303848908 1.9195161951324044e-06 2.205890040537253e-06
11701.92042104738 1.8694012244150434e-06 2.1235250126761785e-06
11764.10912064849 1.8484983743491535e-06 2.1020535593316985e-06
11827.7777323383 1.7130620937939917e-06 1.9675443363717514e-06
11891.44634402811 1.8577189113329103e-06 2.120500224099685e-06
11955.556579869997 1.7464989576594897e-06 2.0362971574253177e-06
12021.085441578141 1.6492247964567354e-06 1.8811970952498775e-06
12086.614303286286 1.5681678576547517e-06 1.7752112338054796e-06
12152.756159938404 1.6984205489362638e-06 1.9045792317419328e-06
12220.09907401538 1.7007067324945687e-06 1.9326638206597046e-06
12287.441988092352 1.5935895430462386e-06 1.821255899150716e-06
12355.696318371882 1.5278225508267758e-06 1.7759499041134412e-06
12424.803717015127 1.594489667024226e-06 1.8367494428362315e-06
12493.911115658371 1.844166098916759e-06 2.083338961341393e-06
12564.331833126373 1.7282442032200246e-06 2.04149134352135e-06
12635.15108750084 1.8898976608933016e-06 2.1770638481054463e-06
12706.109946084072 1.576414525045573e-06 1.9228355056574483e-06
12778.585163580718 1.6097415782360245e-06 1.847461988772511e-06
12851.060381077363 1.805094918187107e-06 2.089547719236747e-06
12924.274548037101 1.8747182773976785e-06 2.20558426687848e-06
12998.346740847563 2.5181822725495316e-06 2.8485890728867553e-06
13072.418933658022 2.212351055256633e-06 2.681912090083193e-06
13147.869975901422 1.636780037881837e-06 2.0295318489889547e-06
13223.478229333468 1.263482136911678e-06 1.5714652024823462e-06
13299.653102993141 1.5277382745245323e-06 1.7774076592227117e-06
13376.734245605894 1.5847073967042283e-06 1.9065733986944139e-06
13453.815388218645 1.6653812381217435e-06 1.997107660036848e-06
13532.190607214516 1.562830910344721e-06 1.931299723072019e-06
13610.678714104213 1.4141020699681893e-06 1.754052600888864e-06
13689.835864042983 1.4395480467359496e-06 1.77977449055217e-06
13769.664695582196 1.460721536355171e-06 1.7803338308294054e-06
13849.644969311434 1.5082360054413851e-06 1.8651506380303156e-06
13930.747242525276 1.479497480952537e-06 1.8328000773874032e-06
14011.849515739117 1.3461061438903765e-06 1.6969687784394081e-06
14093.886996721758 1.2768797489755374e-06 1.6078534301420412e-06
14176.194120143009 1.2607161053394537e-06 1.5597583848524678e-06
14259.032727052117 1.215430621147657e-06 1.4926662144253598e-06
14342.476044346133 1.3541531264194688e-06 1.660754790909885e-06
14426.123026524036 1.5305339048764264e-06 1.8926325192952433e-06
14510.633878679795 1.5278473071530309e-06 1.8970118957898202e-06
14595.144730835558 1.51308134148312e-06 1.8921733767039994e-06
14680.596994755935 1.3509897247493998e-06 1.7090939809534792e-06
14766.106640812506 1.2406948542013901e-06 1.5583470155186247e-06
14852.286138219846 1.1642428838788912e-06 1.4551307612537714e-06
14938.725388360428 1.1791484874922527e-06 1.4716618601592824e-06
15025.615227732245 1.1874593233661838e-06 1.4926325240601073e-06
15112.916847119259 1.4149817722905805e-06 1.7239594607232283e-06
15200.493851023288 1.3709423226728399e-06 1.7235182137033764e-06
15288.591060559942 1.2013065368515115e-06 1.5307180153770504e-06
15376.8264609135 1.2256368212996386e-06 1.526942290409581e-06
15465.65317837891 1.3352311302888645e-06 1.643707916822084e-06
15554.513400635236 1.3244295799279288e-06 1.6459957979947912e-06
15644.004446178746 1.340172043338698e-06 1.6777928052226842e-06
15733.495491722253 1.2327285702138084e-06 1.5563334213683198e-06
15823.544087249553 1.306203166560373e-06 1.59703483936696e-06
15913.63638370238 1.3550486166695826e-06 1.677631233884878e-06
16004.170239866638 1.3412796877019708e-06 1.6885360302627082e-06
16094.802097428388 1.085507582355278e-06 1.3860054388495308e-06
16185.779989815934 1.1670299614339514e-06 1.445021610146183e-06
16276.891136441713 1.2652365670991064e-06 1.5723557917695352e-06
16368.270128170772 1.2359263652148644e-06 1.5509097064658333e-06
16459.802011243246 1.2791942816257198e-06 1.5705617141567393e-06
16551.538026600625 1.2047203199009428e-06 1.5033644889852169e-06
16643.433891651912 9.520569105673509e-07 1.2051333750385302e-06
16735.48235022662 9.86446797711064e-07 1.1870055877012356e-06
