wavelengths_angstrom spec1d_cal_photlam spec1d_cal_opt_photlam
7370.991811904364 -inf 
7390.378398260793 -0.0011650069185342841 -0.0003380314971035334
7409.764984617222 -5.581246969249003e-05 2.9204642909247087e-05
7429.15157097365 -4.59428400693585e-06 1.3276881024004721e-06
7448.53815733008 -4.705170547803103e-07 -1.655792403944653e-06
7467.924743686509 -2.3678468519950843e-07 -5.180966937252467e-08
7487.311330042937 2.621125118473295e-07 -4.547880307567463e-08
7506.6979163993665 2.279486135783122e-08 5.686209471386358e-08
7526.084502755795 7.312263870830745e-08 3.422132378467331e-08
7545.471089112225 -8.245522369291125e-08 2.169955419678508e-08
7564.857675468654 -1.1824399406259903e-07 -5.110898393483702e-09
7585.416501570757 -4.731878897721697e-08 -3.246309582522886e-08
7606.398518237231 9.826945748298759e-08 6.854573664571592e-08
7627.380534903705 -6.674556493192285e-08 -1.183981912365217e-07
7648.36255157018 -2.5020149101012384e-08 1.1309207046062813e-09
7669.344568236653 -5.522757315289849e-08 -8.248699865066163e-09
7690.326584903126 -4.205346353710028e-08 1.4756011656123474e-08
7711.308601569601 -7.89124767366489e-08 -3.177110532859141e-08
7732.290618236075 1.3244408497403252e-07 -8.226580052414721e-08
7753.272634902548 7.361560881827459e-08 -9.447566682704304e-09
7775.378500555767 -2.564627851945628e-08 -4.593711611910309e-08
7798.014757457877 -1.1152496239022936e-07 -6.003638158150986e-08
7820.651014359988 8.494635336989918e-08 7.277590247514226e-08
7843.287271262098 -7.19603327729682e-08 -1.0854697086359543e-08
7865.923528164209 7.172618373842819e-08 -3.754379690887741e-08
7888.559785066319 1.54089275510118e-08 1.0396575832335503e-07
7911.19604196843 3.186903136731662e-09 3.6839566339655484e-09
7933.83229887054 -5.764722057382313e-08 -5.9287283238166826e-08
7956.952745030578 1.0986448460813189e-07 1.5851780781758012e-08
7981.283388255831 1.1766956651911993e-07 6.464069491138412e-08
8005.614031481085 7.085358306814317e-08 3.569086190078821e-08
8029.9446747063375 1.297771516542131e-08 1.3381146112373212e-08
8054.2753179315905 -5.145425196139053e-10 -5.283757634791824e-08
8078.605961156845 -2.9392640728175515e-09 -1.2310578722016454e-08
8102.936604382098 -2.6034879669059644e-08 -4.2542976600367124e-08
8127.267247607352 -6.064486784744096e-08 -3.785752525495711e-08
8152.430653858553 1.3582914880890643e-08 3.0748319959706253e-08
8178.508309568058 2.4812980491425853e-08 1.3089365743935748e-08
8204.585965277563 -3.5700726816525847e-08 3.835351522549813e-08
8230.663620987068 1.0160564979745389e-07 9.562978126433384e-08
8256.741276696574 -5.215009346039908e-08 -1.3927665888427833e-08
8282.818932406079 -6.553508493465535e-08 -1.740400922291393e-08
8308.896588115584 -2.2202219071217994e-08 9.562069756593918e-10
8335.316896913224 -3.258814448349316e-08 -1.1791483488446821e-08
8363.190924005874 -2.6231678355876148e-09 2.1454792202622383e-08
8391.064951098524 6.444258756771475e-09 3.7636138257969136e-08
