# flux          loglam   ivar         
  5.073936      3.5696   0.32928336   
  2.8340316     3.5697   0.34817228   
  1.3631333     3.5698   0.36450022   
  8.112748      3.5699   0.3020422    
  3.730937      3.57     0.33227697   
  4.071054      3.5701   0.3558477    
  5.308649      3.5702   0.34390643   
  3.0627527     3.5703   0.37364432   
  0.08307803    3.5704   0.46593112   
  1.6713146     3.5705   0.45470518   
  2.5357473     3.5706   0.45978194   
  1.3245082     3.5707   0.5106487    
  2.9685705     3.5708   0.4938678    
  3.2847364     3.5709   0.46559727   
  2.4021833     3.571    0.44497508   
  7.451769      3.5711   0.3500109    
  3.0262809     3.5712   0.39521223   
  3.7166567     3.5713   0.3785766    
  3.0586274     3.5714   0.3847194    
  2.56455       3.5715   0.39575776   
  3.2792566     3.5716   0.43670416   
  -0.5879646    3.5717   0.5279242    
  1.5226061     3.5718   0.40680805   
  2.6873229     3.5719   0.38482368   
  2.3212304     3.572    0.43049383   
  1.9704162     3.5721   0.47895992   
  2.3405292     3.5722   0.5141711    
  2.6695373     3.5723   0.5284901    
  1.854408      3.5724   0.54321223   
  2.7951448     3.5725   0.5239226    
  3.1116166     3.5726   0.4882498    
  2.6210241     3.5727   0.4425752    
  3.565424      3.5728   0.4020928    
  6.304071      3.5729   0.28812715   
  4.8305626     3.573    0.3007632    
  4.9280972     3.5731   0.3032796    
  5.0148034     3.5732   0.31147093   
  4.4553657     3.5733   0.31168085   
  3.7077148     3.5734   0.49741742   
  3.3109057     3.5735   0.49238646   
  5.9882994     3.5736   0.44449005   
  3.5469735     3.5737   0.5101589    
  3.2251709     3.5738   0.49365634   
  4.1710362     3.5739   0.5016544    
  3.8331368     3.574    0.46957633   
  4.954785      3.5741   0.42546174   
  3.6127534     3.5742   0.43249375   
  6.065004      3.5743   0.39902154   
  5.276438      3.5744   0.4453413    
  1.6096044     3.5745   0.5263297    
  0.7370634     3.5746   0.54025865   
  3.7263        3.5747   0.52228206   
  3.3133018     3.5748   0.50883764   
  9.109656      3.5749   0.4233213    
  5.2891393     3.575    0.45936581   
  0.74333787    3.5751   0.617986     
  3.577381      3.5752   0.59779125   
  1.6623523     3.5753   0.613587     
  3.9215431     3.5754   0.62727255   
  0.89320916    3.5755   0.63939977   
  2.9176645     3.5756   0.7045762    
  5.5083327     3.5757   0.53895015   
  2.8322947     3.5758   0.61256635   
  2.5593803     3.5759   0.5804989    
  5.778715      3.576    0.56929207   
  2.0800362     3.5761   0.65900195   
  2.4000843     3.5762   0.75488645   
  2.7154503     3.5763   0.68521947   
  -0.06921151   3.5764   0.8042442    
  3.1605196     3.5765   0.6271276    
  2.704616      3.5766   0.5637382    
  3.6978853     3.5767   0.5764771    
  4.0551043     3.5768   0.5777911    
  5.2438755     3.5769   0.5395222    
  6.512607      3.577    0.4894719    
  3.2498572     3.5771   0.48992833   
  3.3214335     3.5772   0.52461606   
  2.9949117     3.5773   0.54578817   
  4.2970276     3.5774   0.57277554   
  4.602162      3.5775   0.5782031    
  3.0162892     3.5776   0.64866996   
  4.128507      3.5777   0.62816614   
  4.7029805     3.5778   0.616659     
  3.5715075     3.5779   0.5807418    
  3.6306763     3.578    0.59219444   
  2.9737651     3.5781   0.59771484   
  1.5820491     3.5782   0.63746107   
  3.8020976     3.5783   0.5687896    
  4.1676474     3.5784   0.6029196    
  3.8064513     3.5785   0.60150254   
  3.110134      3.5786   0.6019944    
  3.3307106     3.5787   0.606672     
  3.127515      3.5788   0.647129     
  0.23797849    3.5789   0.7309759    
  3.1784837     3.579    0.71523464   
  4.325274      3.5791   0.69822174   
  1.6434062     3.5792   0.7255992    
  1.2633048     3.5793   0.7105342    
  4.2414145     3.5794   0.6525016    
  3.1016815     3.5795   0.7127381    
  2.7025816     3.5796   0.81416285   
  0.21100667    3.5797   0.9622841    
  0.09298252    3.5798   0.9824385    
  2.3917332     3.5799   0.8382764    
  3.5130403     3.58     0.7896868    
  2.6329787     3.5801   0.74412465   
  5.638154      3.5802   0.7558477    
  2.0552623     3.5803   0.87167895   
  3.595121      3.5804   0.92642707   
  6.7488465     3.5805   0.7658399    
  5.194424      3.5806   0.81794095   
  4.6363244     3.5807   0.85665214   
  5.120083      3.5808   0.82678497   
  4.737115      3.5809   0.8253445    
  4.561943      3.581    0.83470064   
  3.8072762     3.5811   0.79495454   
  2.5171628     3.5812   0.8298031    
  2.8138304     3.5813   0.81460565   
  2.6146553     3.5814   0.85863215   
  2.075018      3.5815   0.9367936    
  2.878229      3.5816   0.8814906    
  3.536755      3.5817   0.77734154   
  2.6720293     3.5818   0.76759      
  2.2137108     3.5819   0.80113167   
  3.98125       3.582    0.80464226   
  2.9528258     3.5821   0.8700369    
  2.8325598     3.5822   0.88697994   
  2.6123261     3.5823   0.9505413    
  1.9465758     3.5824   0.9803425    
  4.199255      3.5825   0.8802788    
  3.6055024     3.5826   0.914933     
  5.3456573     3.5827   0.89966434   
  3.6029468     3.5828   0.9961254    
  1.5394065     3.5829   0.99913347   
  3.1986628     3.583    0.8582567    
  4.315768      3.5831   0.77341366   
  3.0288866     3.5832   0.7663313    
  3.9486384     3.5833   0.7279278    
  1.8714355     3.5834   0.8196464    
  2.13016       3.5835   0.787445     
  5.5490403     3.5836   0.72712874   
  2.182907      3.5837   0.8524062    
  2.4733076     3.5838   0.9934393    
  1.7830704     3.5839   1.0271779    
  1.9324508     3.584    1.0530976    
  3.435891      3.5841   0.8997326    
  3.2689903     3.5842   0.96568555   
  0.22784923    3.5843   1.0628338    
  3.8596656     3.5844   1.0009397    
  0.6893561     3.5845   1.0420265    
  1.97805       3.5846   0.8993753    
  4.7330837     3.5847   0.8587045    
  2.8011584     3.5848   0.900957     
  1.6030167     3.5849   0.95489347   
  1.7367979     3.585    0.88562113   
  3.4070652     3.5851   0.8231387    
  3.3807774     3.5852   0.79266626   
  3.174924      3.5853   0.82064646   
  3.869587      3.5854   0.8578611    
  2.4656527     3.5855   0.9863804    
  0.49127686    3.5856   1.106847     
  2.5765984     3.5857   1.0473789    
  2.496033      3.5858   0.9425408    
  1.1869664     3.5859   0.9753528    
  2.0637622     3.586    1.0400354    
  3.541954      3.5861   1.0942019    
  3.6709409     3.5862   1.0689723    
  5.812213      3.5863   0.97874117   
  4.3230624     3.5864   1.0475031    
  1.3655633     3.5865   1.2341549    
  1.4373435     3.5866   1.3127584    
  3.117441      3.5867   1.262212     
  2.936866      3.5868   1.2437094    
  4.5046725     3.5869   1.0690672    
  3.9246678     3.587    1.0453176    
  3.8523922     3.5871   1.0001265    
  5.0307603     3.5872   1.024643     
  2.363187      3.5873   1.1175787    
  2.9957666     3.5874   1.173273     
  2.4447765     3.5875   1.1754446    
  3.6882212     3.5876   1.1615125    
  4.766986      3.5877   1.101525     
  3.6860907     3.5878   1.2873905    
  3.0465443     3.5879   1.4315883    
  1.8050066     3.588    1.4475793    
  4.448062      3.5881   1.2023011    
  5.628952      3.5882   1.028682     
  4.3279896     3.5883   0.9747286    
  3.2173147     3.5884   1.0187088    
  3.6068873     3.5885   1.0492953    
  3.8362412     3.5886   1.1015846    
  3.9282048     3.5887   1.1835517    
  3.354751      3.5888   1.3199276    
