## Type Ia Supernova spectrum
## Generated using SNCosmo
## Template: hsiao
## Redshift: 1.322947
wavelength,flux_photlam
7000.0,4.133366479385093e-08
7001.0,4.142647692134674e-08
7002.0,4.151979827962683e-08
7003.0,4.1613546366919114e-08
7004.0,4.170763863420935e-08
7005.0,4.1801992485240813e-08
7006.0,4.189652527651483e-08
7007.0,4.19911543172904e-08
7008.0,4.208579686958437e-08
7009.0,4.2180370148171384e-08
7010.0,4.2274791320583636e-08
7011.0,4.236897750711133e-08
7012.0,4.246284578080242e-08
7013.0,4.2556313167462686e-08
7014.0,4.2649296645655485e-08
7015.0,4.274171314670212e-08
7016.0,4.2833482919936655e-08
7017.0,4.292456090862789e-08
7018.0,4.301492252442519e-08
7019.0,4.310454342992745e-08
7020.0,4.31933992740448e-08
7021.0,4.3281465691998265e-08
7022.0,4.3368718305319794e-08
7023.0,4.3455132721852446e-08
7024.0,4.3540684535749985e-08
7025.0,4.362534932747737e-08
7026.0,4.3709102663810546e-08
7027.0,4.379192009783636e-08
7028.0,4.387377716895256e-08
7029.0,4.395464940286796e-08
7030.0,4.4034512311602365e-08
7031.0,4.411334139348653e-08
7032.0,4.4191112133162246e-08
7033.0,4.426780000158206e-08
7034.0,4.434338045600971e-08
7035.0,4.4417828940019826e-08
7036.0,4.449112088349814e-08
7037.0,4.456323170264107e-08
7038.0,4.4634136799956244e-08
7039.0,4.470381256090729e-08
7040.0,4.47722617899702e-08
7041.0,4.4839515837993144e-08
7042.0,4.4905607493561634e-08
7043.0,4.497056956417956e-08
7044.0,4.503443487626884e-08
7045.0,4.509723627516958e-08
7046.0,4.515900662513981e-08
7047.0,4.5219778809355836e-08
7048.0,4.527958572991207e-08
7049.0,4.533846030782096e-08
7050.0,4.53964354830132e-08
7051.0,4.5453544214337384e-08
7052.0,4.550981947956042e-08
7053.0,4.556529427536724e-08
7054.0,4.5620001617360974e-08
7055.0,4.56739745400627e-08
7056.0,4.572724609691173e-08
7057.0,4.577984936026549e-08
7058.0,4.583181742139952e-08
7059.0,4.588318339050748e-08
7060.0,4.593398039670102e-08
7061.0,4.5984241588010044e-08
7062.0,4.6034000082444404e-08
7063.0,4.6083282537693875e-08
