## Type Ia Supernova spectrum
## Generated using SNCosmo
## Template: hsiao
## Redshift: 0.801382
wavelength,flux_photlam
7000.0,4.585290241310359e-07
7001.0,4.5957504780184906e-07
7002.0,4.6060173765519437e-07
7003.0,4.61609196548837e-07
7004.0,4.6259752740409094e-07
7005.0,4.6356683320582224e-07
7006.0,4.645172170024473e-07
7007.0,4.6544878190593435e-07
7008.0,4.6636162898782987e-07
7009.0,4.672558307071359e-07
7010.0,4.68131438846748e-07
7011.0,4.689885047633356e-07
7012.0,4.698270798474633e-07
7013.0,4.7064721552359734e-07
7014.0,4.71448963250101e-07
7015.0,4.722323745192339e-07
7016.0,4.729975008571567e-07
7017.0,4.737443938239262e-07
7018.0,4.74473105013499e-07
7019.0,4.751836860537283e-07
7020.0,4.7587618860636615e-07
7021.0,4.7655066436706336e-07
7022.0,4.772071650653684e-07
7023.0,4.778457424647274e-07
7024.0,4.784664483624855e-07
7025.0,4.790693345898858e-07
7026.0,4.796544481606168e-07
7027.0,4.802217663708587e-07
7028.0,4.807712142312816e-07
7029.0,4.813027154490142e-07
7030.0,4.818161936921455e-07
7031.0,4.823115725897226e-07
7032.0,4.827887757317528e-07
7033.0,4.832477266692031e-07
7034.0,4.836883489139992e-07
7035.0,4.841105659390269e-07
7036.0,4.845143011781308e-07
7037.0,4.848994780261161e-07
7038.0,4.852660198387457e-07
7039.0,4.856138499327433e-07
7040.0,4.859428915857914e-07
7041.0,4.862530680365328e-07
7042.0,4.865443024845682e-07
7043.0,4.86816518090459e-07
7044.0,4.870696418652564e-07
7045.0,4.873036598330927e-07
7046.0,4.875186039129653e-07
7047.0,4.877145072528558e-07
7048.0,4.878914030241821e-07
7049.0,4.880493244217982e-07
7050.0,4.881883046639947e-07
7051.0,4.883083769924987e-07
7052.0,4.884095746724737e-07
7053.0,4.884919309925192e-07
7054.0,4.885554792646719e-07
7055.0,4.886002528244038e-07
7056.0,4.886262850306239e-07
7057.0,4.886336092656778e-07
7058.0,4.886222589353473e-07
7059.0,4.885922674688505e-07
7060.0,4.885436683188416e-07
7061.0,4.884764949614118e-07
7062.0,4.883907877827785e-07
7063.0,4.882866977257741e-07
7064.0,4.881644649111513e-07
7065.0,4.880243321349098e-07
7066.0,4.878665423348631e-07
7067.0,4.876913385906396e-07
7068.0,4.874989641236826e-07
7069.0,4.872896622972508e-07
7070.0,4.870636766164159e-07
7071.0,4.868212507280655e-07
7072.0,4.865626284209016e-07
7073.0,4.862880536254411e-07
7074.0,4.859977704140151e-07
7075.0,4.856920230007694e-07
7076.0,4.853710557416654e-07
7077.0,4.850351131344778e-07
7078.0,4.846844398187974e-07
7079.0,4.843192805760283e-07
7080.0,4.839398779841188e-07
7081.0,4.83546434921144e-07
7082.0,4.831391210865583e-07
7083.0,4.827181052560476e-07
7084.0,4.822835563038971e-07
7085.0,4.818356432029926e-07
7086.0,4.813745350248191e-07
7087.0,4.809004009394638e-07
7088.0,4.804134102156117e-07
7089.0,4.799137322205497e-07
7090.0,4.794015364201634e-07
7091.0,4.788769923789399e-07
7092.0,4.783402697599659e-07
7093.0,4.77791538324928e-07
7094.0,4.772309679341127e-07
7095.0,4.76658728546408e-07
7096.0,4.7607499021930085e-07
7097.0,4.7547992310887857e-07
7098.0,4.748736957106956e-07
7099.0,4.742564449481473e-07
7100.0,4.73628280381447e-07
7101.0,4.729893107270704e-07
7102.0,4.723396447652876e-07
7103.0,4.7167939134015865e-07
7104.0,4.710086593595355e-07
7105.0,4.7032755779506174e-07
7106.0,4.696361956821746e-07
7107.0,4.689346821201015e-07
7108.0,4.6822312627186185e-07
7109.0,4.675016373642672e-07
7110.0,4.6677032468792167e-07
7111.0,4.6602929759722037e-07
7112.0,4.652786655103499e-07
7113.0,4.645185379092894e-07
7114.0,4.6374902433981057e-07
7115.0,4.6297023441147577e-07
7116.0,4.6218228525358346e-07
7117.0,4.613854365109655e-07
7118.0,4.6058007595273876e-07
7119.0,4.5976659611793884e-07
7120.0,4.589453897681169e-07
7121.0,4.581168498873435e-07
7122.0,4.5728136968220395e-07
7123.0,4.564393425818008e-07
7124.0,4.5559116223775315e-07
7125.0,4.5473722252419903e-07
7126.0,4.5387791753779117e-07
7127.0,4.530136415976999e-07
7128.0,4.521447892456114e-07
7129.0,4.512717552457312e-07
7130.0,4.5039493458477964e-07
7131.0,4.4951472247199475e-07
7132.0,4.4863151433913e-07
7133.0,4.477457058404589e-07
7134.0,4.4685769905589436e-07
7135.0,4.4596802224141237e-07
7136.0,4.4507732126254864e-07
7137.0,4.441862468189861e-07
7138.0,4.43295449975279e-07
7139.0,4.4240558216085014e-07
7140.0,4.4151729516999314e-07
7141.0,4.40631241161869e-07
7142.0,4.397480726605088e-07
7143.0,4.3886844255481227e-07
7144.0,4.3799300409855055e-07
7145.0,4.371224109103618e-07
7146.0,4.362573169737538e-07
7147.0,4.3539837663710386e-07
7148.0,4.3454624461365977e-07
7149.0,4.3370157598153725e-07
7150.0,4.328650261837214e-07
7151.0,4.320372510280662e-07
7152.0,4.312189041737232e-07
7153.0,4.3041058531983816e-07
7154.0,4.2961284204230287e-07
7155.0,4.2882622008127933e-07
7156.0,4.2805126547948773e-07
7157.0,4.2728852458220773e-07
7158.0,4.2653854403727863e-07
7159.0,4.258018707951014e-07
7160.0,4.250790521086337e-07
7161.0,4.24370635533395e-07
7162.0,4.23677168927462e-07
7163.0,4.229992004514742e-07
7164.0,4.223372785686283e-07
7165.0,4.216919520446811e-07
7166.0,4.210637699479487e-07
7167.0,4.2045328164930875e-07
7168.0,4.1986103682219604e-07
7169.0,4.1928758544260576e-07
7170.0,4.187334721723491e-07
7171.0,4.1819911255084875e-07
7172.0,4.1768479278328195e-07
7173.0,4.1719079358637874e-07
7174.0,4.167173958286984e-07
7175.0,4.1626488053062645e-07
7176.0,4.158335288643765e-07
7177.0,4.1542362215398954e-07
7178.0,4.1503544187533557e-07
7179.0,4.146692696561106e-07
7180.0,4.143253872758397e-07
7181.0,4.1400407666587424e-07
7182.0,4.137056199093952e-07
7183.0,4.134302992414097e-07
7184.0,4.1317839704875316e-07
7185.0,4.1295019587008825e-07
7186.0,4.127459783959066e-07
7187.0,4.1256602746852593e-07
7188.0,4.1241061953927405e-07
7189.0,4.1227987018608196e-07
7190.0,4.121737279323512e-07
7191.0,4.120921335070407e-07
7192.0,4.1203502760041654e-07
7193.0,4.1200235086405136e-07
7194.0,4.119940439108258e-07
7195.0,4.120100473149265e-07
7196.0,4.120503016118485e-07
7197.0,4.12114747298393e-07
7198.0,4.1220332483266874e-07
7199.0,4.1231597463409186e-07
7200.0,4.12452637083385e-07
7201.0,4.126132525225782e-07
7202.0,4.127977612550091e-07
7203.0,4.1300610354532173e-07
7204.0,4.132382196194678e-07
7205.0,4.1349404966470556e-07
7206.0,4.1377352798818544e-07
7207.0,4.1407643501908233e-07
7208.0,4.1440238554023436e-07
7209.0,4.1475098593490717e-07
7210.0,4.15121842362658e-07
7211.0,4.155145607593348e-07
7212.0,4.159287468370763e-07
7213.0,4.163640060843138e-07
7214.0,4.168199437657685e-07
7215.0,4.172961649224541e-07
7216.0,4.1779227437167353e-07
7217.0,4.183078767070226e-07
7218.0,4.1884257629838793e-07
7219.0,4.193959772919477e-07
7220.0,4.1996768361017e-07
7221.0,4.2055729895181505e-07
7222.0,4.2116442679193505e-07
7223.0,4.2178867038187126e-07
7224.0,4.224296317949996e-07
7225.0,4.230868859334215e-07
7226.0,4.237599774010731e-07
7227.0,4.2444844896738066e-07
7228.0,4.251518431451024e-07
7229.0,4.2586970219032785e-07
7230.0,4.26601568102477e-07
7231.0,4.2734698262430027e-07
7232.0,4.281054872418795e-07
7233.0,4.2887662318462713e-07
7234.0,4.296599314252876e-07
7235.0,4.3045495267993406e-07
7236.0,4.312612274079722e-07
7237.0,4.320782958121385e-07
7238.0,4.329056978385007e-07
7239.0,4.337429731764553e-07
7240.0,4.3458966125873216e-07
7241.0,4.354453012613914e-07
7242.0,4.363094329171981e-07
7243.0,4.3718162038528374e-07
7244.0,4.380614561280965e-07
7245.0,4.3894853397217224e-07
7246.0,4.398424475180978e-07
7247.0,4.407427901405137e-07
7248.0,4.416491549881116e-07
7249.0,4.4256113498363675e-07
7250.0,4.434783228238839e-07
7251.0,4.444003109797023e-07
7252.0,4.4532669169599257e-07
7253.0,4.462570569917082e-07
7254.0,4.471909986598528e-07
7255.0,4.4812810826748395e-07
7256.0,4.4906797715571145e-07
7257.0,4.500101964396958e-07
7258.0,4.50954357008651e-07
7259.0,4.519000495258427e-07
7260.0,4.5284686539717453e-07
7261.0,4.537944274633137e-07
7262.0,4.5474239632139396e-07
7263.0,4.556904346236435e-07
7264.0,4.566382048364647e-07
7265.0,4.575853692404313e-07
7266.0,4.58531589930292e-07
7267.0,4.5947652881496824e-07
7268.0,4.604198476175547e-07
7269.0,4.61361207875318e-07
7270.0,4.6230027093969907e-07
7271.0,4.6323669797631224e-07
7272.0,4.641701499649452e-07
7273.0,4.651002876995563e-07
7274.0,4.660267717882799e-07
7275.0,4.669492626534232e-07
7276.0,4.67867420531464e-07
7277.0,4.687809054730563e-07
7278.0,4.6968937806663856e-07
7279.0,4.705925242574575e-07
7280.0,4.7149006157777833e-07
7281.0,4.723817093910307e-07
7282.0,4.73267186907791e-07
7283.0,4.7414621318578325e-07
7284.0,4.7501850712987684e-07
7285.0,4.7588378749209064e-07
7286.0,4.7674177287158953e-07
7287.0,4.775921817146864e-07
7288.0,4.784347323148399e-07
7289.0,4.792691428126572e-07
7290.0,4.800951311958928e-07
7291.0,4.809124152994469e-07
7292.0,4.817207128053687e-07
7293.0,4.825197412428537e-07
7294.0,4.833092179882455e-07
7295.0,4.840888602650327e-07
7296.0,4.848583849656754e-07
7297.0,4.856175020192734e-07
7298.0,4.863659124173166e-07
7299.0,4.87103316409587e-07
7300.0,4.878294140840546e-07
7301.0,4.885439053668743e-07
7302.0,4.892464900223871e-07
7303.0,4.899368676531173e-07
7304.0,4.906147376997773e-07
7305.0,4.912797994412637e-07
7306.0,4.919317519946593e-07
7307.0,4.925702943152312e-07
7308.0,4.93195125196433e-07
7309.0,4.938059432699045e-07
7310.0,4.944024470054691e-07
7311.0,4.949843347111373e-07
7312.0,4.955513045331043e-07
7313.0,4.961030544557519e-07
7314.0,4.966392831926163e-07
7315.0,4.971597262812532e-07
7316.0,4.97664168572038e-07
7317.0,4.981523982517485e-07
7318.0,4.986242033949842e-07
7319.0,4.990793719641667e-07
7320.0,4.995176918095411e-07
7321.0,4.999389506691736e-07
7322.0,5.003429361689524e-07
7323.0,5.007294358225886e-07
7324.0,5.010982370316158e-07
7325.0,5.014491270853887e-07
7326.0,5.017818931610856e-07
7327.0,5.020963223237056e-07
7328.0,5.023922015260711e-07
7329.0,5.026693176088263e-07
7330.0,5.029274573004377e-07
7331.0,5.031664072171939e-07
7332.0,5.033859562082342e-07
7333.0,5.035859990726911e-07
7334.0,5.037665776426573e-07
7335.0,5.039277446023767e-07
7336.0,5.040695526691739e-07
7337.0,5.041920545934523e-07
7338.0,5.042953031586963e-07
7339.0,5.043793511814706e-07
7340.0,5.044442515114206e-07
7341.0,5.044900570312709e-07
7342.0,5.045168206568267e-07
7343.0,5.045245953369734e-07
7344.0,5.045134340536768e-07
7345.0,5.044833898219831e-07
7346.0,5.044345156900176e-07
7347.0,5.043668647389876e-07
7348.0,5.042804900831789e-07
7349.0,5.041754448699587e-07
7350.0,5.04051784256304e-07
7351.0,5.039096611712666e-07
7352.0,5.037493692264504e-07
7353.0,5.035712131010746e-07
7354.0,5.033754976441231e-07
7355.0,5.03162527874343e-07
7356.0,5.029326089802485e-07
7357.0,5.02686046320116e-07
7358.0,5.024231454219876e-07
7359.0,5.021442119836695e-07
7360.0,5.01849551872733e-07
7361.0,5.015394711265133e-07
7362.0,5.012142759521102e-07
7363.0,5.008742727263888e-07
7364.0,5.00519767995978e-07
7365.0,5.001510684772714e-07
7366.0,4.997684810564266e-07
7367.0,4.993723127893672e-07
7368.0,4.98962871344401e-07
7369.0,4.985404885807373e-07
7370.0,4.981055323865221e-07
7371.0,4.976583737792214e-07
7372.0,4.971993839803864e-07
7373.0,4.967289344156563e-07
7374.0,4.962473967147567e-07
7375.0,4.957551427115021e-07
7376.0,4.952525444437918e-07
7377.0,4.947399741536123e-07
7378.0,4.942178042870398e-07
7379.0,4.93686407494234e-07
7380.0,4.931461566294446e-07
7381.0,4.925974247510061e-07
7382.0,4.920405851213417e-07
7383.0,4.914760112069601e-07
7384.0,4.909040766784585e-07
7385.0,4.903251554105203e-07
7386.0,4.897396208440755e-07
7387.0,4.891478084764405e-07
7388.0,4.885499949252789e-07
7389.0,4.879464518866057e-07
7390.0,4.873374512047979e-07
7391.0,4.867232648725936e-07
7392.0,4.861041650310932e-07
7393.0,4.854804239697575e-07
7394.0,4.84852314126408e-07
7395.0,4.84220108087231e-07
7396.0,4.835840785867706e-07
7397.0,4.829444985079333e-07
7398.0,4.823016408819872e-07
7399.0,4.816557788885616e-07
7400.0,4.810071858556472e-07
7401.0,4.803561352595963e-07
7402.0,4.797029007251213e-07
7403.0,4.79047756025299e-07
7404.0,4.783909744110877e-07
7405.0,4.777327848902868e-07
7406.0,4.770733452756111e-07
7407.0,4.764128070272006e-07
7408.0,4.757513216872182e-07
7409.0,4.750890408798511e-07
7410.0,4.7442611631130895e-07
7411.0,4.7376269976982857e-07
7412.0,4.730989431256668e-07
7413.0,4.724349983311053e-07
7414.0,4.7177101742045046e-07
7415.0,4.71107152510031e-07
7416.0,4.704435557982004e-07
7417.0,4.6978037956533437e-07
7418.0,4.6911777617383576e-07
7419.0,4.684558980681274e-07
7420.0,4.67794897774658e-07
7421.0,4.671349279018986e-07
7422.0,4.6647614082308945e-07
7423.0,4.658186656241472e-07
7424.0,4.651625924948686e-07
7425.0,4.6450800797913673e-07
7426.0,4.638549986671138e-07
7427.0,4.632036511952342e-07
7428.0,4.6255405224620824e-07
7429.0,4.6190628854902226e-07
7430.0,4.612604468789383e-07
7431.0,4.6061661405749353e-07
7432.0,4.5997487695249973e-07
7433.0,4.593353224780472e-07
7434.0,4.586980375944985e-07
7435.0,4.580631093084931e-07
7436.0,4.574306246729455e-07
7437.0,4.5680067078704635e-07
7438.0,4.5617333479626096e-07
7439.0,4.5554870389233066e-07
7440.0,4.5492686507238894e-07
7441.0,4.5430788553064184e-07
7442.0,4.5369179814314147e-07
7443.0,4.5307863238481574e-07
7444.0,4.524684177457657e-07
7445.0,4.518611837312679e-07
7446.0,4.512569598617717e-07
7447.0,4.506557756729008e-07
7448.0,4.500576607154555e-07
