## Type Ia Supernova spectrum
## Generated using SNCosmo
## Template: hsiao
## Redshift: 0.774407
wavelength,flux_photlam
7000.0,5.107368117566164e-07
7001.0,5.099571151926232e-07
7002.0,5.091662087341992e-07
7003.0,5.083642167762341e-07
7004.0,5.075512637873532e-07
7005.0,5.067274743099178e-07
7006.0,5.058929729600256e-07
7007.0,5.050478844275096e-07
7008.0,5.041923334759396e-07
7009.0,5.033264449848218e-07
7010.0,5.024504135863126e-07
7011.0,5.01564645792375e-07
7012.0,5.006695884309889e-07
7013.0,4.997656885873388e-07
7014.0,4.988533936038125e-07
7015.0,4.979331510800017e-07
7016.0,4.970054088727027e-07
7017.0,4.960706150959149e-07
7018.0,4.951292181208429e-07
7019.0,4.941816665758924e-07
7020.0,4.932284093466761e-07
7021.0,4.922698955760089e-07
7022.0,4.913065746639104e-07
7023.0,4.903388962676041e-07
7024.0,4.893673103015167e-07
7025.0,4.883922669372793e-07
7026.0,4.874142166037267e-07
7027.0,4.864336120221764e-07
7028.0,4.854510161274066e-07
7029.0,4.844671559720785e-07
7030.0,4.834827723645711e-07
7031.0,4.824986065350096e-07
7032.0,4.815154001352666e-07
7033.0,4.805338952389616e-07
7034.0,4.795548343414609e-07
7035.0,4.785789603598776e-07
7036.0,4.776070166330718e-07
7037.0,4.766397469216511e-07
7038.0,4.75677895407969e-07
7039.0,4.747222066961267e-07
7040.0,4.737734258119718e-07
7041.0,4.728322982030993e-07
7042.0,4.7189956973885107e-07
7043.0,4.709759867103155e-07
7044.0,4.700622958303281e-07
7045.0,4.691592395700612e-07
7046.0,4.682674921819124e-07
7047.0,4.6738767603571667e-07
7048.0,4.6652041254042516e-07
7049.0,4.6566632345471404e-07
7050.0,4.648260308869826e-07
7051.0,4.640001572953547e-07
7052.0,4.6318932548767815e-07
7053.0,4.623941586215254e-07
7054.0,4.616152802041919e-07
7055.0,4.608533140926981e-07
7056.0,4.6010888449378806e-07
7057.0,4.5938261596393047e-07
7058.0,4.586751334093177e-07
7059.0,4.579870620858661e-07
7060.0,4.5731902759921666e-07
7061.0,4.56671655904734e-07
7062.0,4.560455733075066e-07
7063.0,4.554413738332423e-07
7064.0,4.5485945231134513e-07
7065.0,4.5430012839243796e-07
7066.0,4.537637217623848e-07
7067.0,4.532505522825439e-07
7068.0,4.5276093998977023e-07
7069.0,4.52295205096413e-07
7070.0,4.5185366799031776e-07
7071.0,4.5143664923482474e-07
7072.0,4.510444695687696e-07
7073.0,4.5067744990648367e-07
7074.0,4.5033591133779355e-07
7075.0,4.5002017512802114e-07
7076.0,4.497305627179836e-07
7077.0,4.494673957239936e-07
7078.0,4.4923099593785935e-07
7079.0,4.4902168532688394e-07
7080.0,4.4883978593227893e-07
7081.0,4.4868553005081437e-07
7082.0,4.4855889511902396e-07
7083.0,4.4845981366752744e-07
7084.0,4.4838821818222013e-07
7085.0,4.483440411042726e-07
7086.0,4.483272148301311e-07
7087.0,4.48337671711517e-07
7088.0,4.483753440554277e-07
7089.0,4.4844016412413593e-07
7090.0,4.485320641351898e-07
7091.0,4.4865097626141314e-07
7092.0,4.4879683263090486e-07
7093.0,4.489695653270395e-07
7094.0,4.491691063884676e-07
7095.0,4.493953878091147e-07
7096.0,4.49648341538182e-07
7097.0,4.499278994801462e-07
7098.0,4.502339902388123e-07
7099.0,4.5056639202716035e-07
7100.0,4.5092467262209887e-07
7101.0,4.513083838792687e-07
7102.0,4.5171707739572904e-07
7103.0,4.5215030450995754e-07
7104.0,4.5260761630185026e-07
7105.0,4.530885635927216e-07
7106.0,4.535926969453041e-07
7107.0,4.54119566663749e-07
7108.0,4.5466872279362556e-07
7109.0,4.55239715121922e-07
7110.0,4.5583209317704386e-07
7111.0,4.564454062288162e-07
7112.0,4.570792032884818e-07
7113.0,4.5773303310870207e-07
7114.0,4.5840644418355623e-07
7115.0,4.590989847485427e-07
7116.0,4.598101999837592e-07
7117.0,4.605395972565104e-07
7118.0,4.6128665679440125e-07
7119.0,4.6205085794659725e-07
7120.0,4.62831679765584e-07
7121.0,4.636286010071671e-07
7122.0,4.644411001304725e-07
7123.0,4.652686552979461e-07
7124.0,4.6611074437535326e-07
7125.0,4.669668449317801e-07
7126.0,4.678364342396326e-07
7127.0,4.687189892746367e-07
7128.0,4.6961398671583807e-07
7129.0,4.7052090294560307e-07
7130.0,4.7143921404961755e-07
7131.0,4.72368395816888e-07
7132.0,4.7330792373973995e-07
7133.0,4.7425727301382016e-07
7134.0,4.7521592582638824e-07
7135.0,4.7618340549493446e-07
7136.0,4.771592496823332e-07
7137.0,4.78142995806823e-07
7138.0,4.791341810254714e-07
7139.0,4.801323422341791e-07
7140.0,4.811370160676743e-07
7141.0,4.821477388995164e-07
7142.0,4.831640468420952e-07
7143.0,4.841854757466305e-07
7144.0,4.85211561203173e-07
7145.0,4.862418385406025e-07
7146.0,4.872758428266306e-07
7147.0,4.883131088677979e-07
7148.0,4.89353171209476e-07
7149.0,4.90395564135866e-07
7150.0,4.914398216700007e-07
7151.0,4.924854776114876e-07
7152.0,4.935320858111525e-07
7153.0,4.945792536497771e-07
7154.0,4.956265970875155e-07
7155.0,4.966737318697264e-07
7156.0,4.977202735269739e-07
7157.0,4.987658373750283e-07
7158.0,4.998100385148658e-07
7159.0,5.008524918326668e-07
7160.0,5.018928119998183e-07
7161.0,5.029306134729124e-07
7162.0,5.039655104937471e-07
7163.0,5.049971170893255e-07
7164.0,5.060250470718565e-07
7165.0,5.070489140387545e-07
7166.0,5.080683313726391e-07
7167.0,5.090829122413366e-07
7168.0,5.100922695978774e-07
7169.0,5.110960168860004e-07
7170.0,5.120937954718573e-07
7171.0,5.13085283492873e-07
7172.0,5.140701614216113e-07
7173.0,5.150481095539568e-07
7174.0,5.160188080091132e-07
7175.0,5.169819367296044e-07
7176.0,5.179371754812743e-07
7177.0,5.188842038532852e-07
7178.0,5.198227012581212e-07
7179.0,5.207523469315846e-07
7180.0,5.21672819932798e-07
7181.0,5.225837991442037e-07
7182.0,5.234849632715644e-07
7183.0,5.24375990843961e-07
7184.0,5.252565602137961e-07
7185.0,5.261263495567908e-07
7186.0,5.269850368719866e-07
7187.0,5.278322991233536e-07
7188.0,5.286678025533906e-07
7189.0,5.29491206139975e-07
7190.0,5.303021685428377e-07
7191.0,5.311003482346712e-07
7192.0,5.318854035011292e-07
7193.0,5.326569924408252e-07
7194.0,5.334147729653348e-07
7195.0,5.341584027991947e-07
7196.0,5.348875394799026e-07
7197.0,5.35601840357917e-07
7198.0,5.363009625966575e-07
7199.0,5.369845631725043e-07
