wavelength,flux_photlam
10003.87,2.2077292112055822e-08
10014.87,-2.409804224906751e-07
10025.87,7.786338695487735e-07
10036.87,2.4371776172483092e-08
10047.87,-5.774002871722915e-07
10058.87,2.7987901401393095e-07
10069.87,-5.944350769442955e-07
10080.87,-8.251973952981015e-07
10091.87,-7.990702888314342e-07
10102.87,6.994809576966122e-07
10113.87,-8.807432666944479e-08
10124.87,2.2003366786957472e-07
10135.87,5.39944066858897e-07
10146.87,2.1166186633773302e-07
10157.87,-7.75376233634504e-07
10168.87,1.04212488457157e-06
10179.87,5.540818786280575e-07
10190.87,5.882829144974717e-08
10201.87,-7.090598186892344e-07
10212.87,-6.564676556705334e-07
10223.87,4.660508709250422e-07
10234.87,-1.7137879750592007e-07
10245.87,2.8482448426077666e-07
10256.87,1.0384448714643955e-06
10267.87,3.2461201224018867e-07
10278.87,-4.4669843876624416e-07
10289.87,4.3026157176053444e-07
10300.87,3.1781603997886775e-07
10311.87,7.395149023565184e-07
10322.87,3.861143905498335e-07
10333.87,1.390342666592467e-07
10344.87,-6.206606858032105e-07
10355.87,-6.231781388528382e-07
10366.87,1.8304967887621552e-07
10377.87,6.769084246091231e-07
10388.87,-1.5568594473099398e-07
10399.87,5.757051674055576e-07
10410.87,1.7330118820816697e-06
10421.87,1.2637710417610385e-06
10432.87,1.678633350359674e-06
10443.87,6.091142457880169e-07
10454.87,7.810761273135852e-07
10465.87,4.952717965289804e-07
10476.87,6.481564519638812e-07
10487.87,4.1888279536466444e-07
10498.87,8.57260196428968e-07
10509.87,4.343605610611975e-07
10520.87,-2.944808485529961e-08
10531.87,-2.2504767520179335e-07
10542.87,4.390084743917685e-07
10553.87,6.759926025692458e-07
10564.87,1.0675005816879e-06
10575.87,-5.7707544408750376e-08
10586.87,7.993765717113882e-07
10597.87,6.661101560624098e-07
10608.87,7.791988134001054e-07
10619.87,3.5522821513468334e-07
10630.87,-5.116926770929827e-07
10641.87,-4.9921212981449667e-08
10652.87,1.7690338308065656e-07
10663.87,2.3237981791063336e-07
10674.87,-1.1170581929183879e-08
10685.87,6.83549059673767e-07
10696.87,-5.4443086614060116e-08
10707.87,2.3157638471628965e-07
10718.87,1.0946199027774357e-07
10729.87,-2.2446554585790087e-07
10740.87,-1.7490311406768535e-07
10751.87,9.307503184263155e-07
10762.87,9.992192518002206e-07
10773.87,1.55880100768377e-07
10784.87,4.3027103485530363e-07
10795.87,1.1513102386095073e-06
10806.87,7.807968298326076e-07
10817.87,1.0055561834486208e-06
10828.87,8.622686637864822e-08
10839.87,9.711445844362468e-07
10850.87,-5.11530563159577e-07
