wavelength,effArea,sampling
700.0,0.0,15.241499999999998
701.0,0.0,15.328349999999997
702.0,0.0,15.415199999999997
703.0,0.0,15.502049999999997
704.0,0.0,15.588899999999995
705.0,0.0,15.675749999999997
706.0,0.0,15.762599999999997
707.0,0.0,15.849449999999997
708.0,0.0,15.936299999999997
709.0,0.0,16.023149999999998
710.0,0.0,16.109999999999996
711.0,0.0,16.196849999999998
712.0,0.0,16.283699999999996
713.0,0.0,16.370549999999998
714.0,0.0,16.457399999999996
715.0,0.0,16.544249999999998
716.0,0.0,16.631099999999996
717.0,0.0,16.717949999999995
718.0,0.0,16.804799999999997
719.0,0.0,16.89165
720.0,0.0,16.978499999999997
721.0,0.0,17.065349999999995
722.0,0.0,17.152199999999997
723.0,0.0,17.23905
724.0,0.0,17.325899999999997
725.0,0.0,17.412749999999996
726.0,0.0,17.499599999999997
727.0,0.0,17.586449999999996
728.0,0.0,17.673299999999994
729.0,0.0,17.760149999999996
730.0,0.0,17.846999999999998
731.0,0.0,17.933849999999996
732.0,0.0,18.020699999999998
733.0,0.0,18.107549999999996
734.0,0.0,18.194399999999995
735.0,0.0,18.281249999999996
736.0,0.0,18.368099999999995
737.0,0.0,18.454949999999997
738.0,2.2737367544323206e-13,18.541799999999995
739.0,2.0000000000005684,18.628649999999997
740.0,7.000000000001819,18.7155
741.0,23.000000000005343,18.802349999999997
742.0,70.0000000000133,18.889199999999995
743.0,187.00000000003,18.976049999999997
744.0,451.00000000006,19.062899999999996
745.0,979.0000000001071,19.149749999999994
746.0,1921.0000000001703,19.236599999999996
747.0,3419.0000000002415,19.323449999999998
748.0,5544.000000000305,19.410299999999996
749.0,8225.000000000344,19.497149999999994
750.0,11241.000000000347,19.583999999999996
751.0,14275.00000000031,19.670849999999998
752.0,16995.000000000247,19.757699999999996
753.0,19174.00000000018,19.844549999999995
754.0,20735.000000000113,19.931399999999996
755.0,21738.000000000065,20.018249999999995
756.0,22328.000000000036,20.105099999999997
757.0,22657.000000000022,20.191949999999995
758.0,22840.000000000007,20.278799999999993
759.0,22946.000000000007,20.365649999999995
760.0,23023.000000000004,20.452499999999993
761.0,23094.000000000007,20.539349999999995
762.0,23163.000000000007,20.626199999999994
763.0,23224.000000000007,20.713049999999992
764.0,23285.000000000007,20.799899999999997
765.0,23349.00000000001,20.886749999999996
766.0,23416.000000000007,20.973599999999998
767.0,23482.000000000007,21.060449999999996
768.0,23543.000000000007,21.147299999999994
769.0,23598.000000000007,21.234149999999996
770.0,23651.000000000007,21.320999999999994
771.0,23708.000000000007,21.407849999999993
772.0,23762.000000000004,21.494699999999995
773.0,23807.000000000004,21.581549999999993
774.0,23849.000000000004,21.6684
775.0,23894.000000000007,21.755249999999997
776.0,23923.000000000004,21.842099999999995
777.0,23943.0,21.928949999999997
778.0,23959.000000000004,22.015799999999995
779.0,23979.000000000004,22.102649999999997
780.0,23997.0,22.189499999999995
781.0,24007.0,22.276349999999994
782.0,24014.000000000004,22.363199999999996
783.0,24023.0,22.450049999999994
784.0,24035.000000000004,22.5369
785.0,24045.0,22.623749999999998
786.0,24049.999999999996,22.710599999999996
787.0,24049.999999999996,22.797449999999998
788.0,24049.0,22.884299999999996
789.0,24054.000000000004,22.971149999999998
790.0,24058.0,23.057999999999996
791.0,24056.000000000004,23.147949999999998
792.0,24054.000000000004,23.2379
793.0,24056.000000000004,23.327849999999994
794.0,24063.0,23.417799999999996
795.0,24070.0,23.507749999999998
796.0,24074.0,23.597699999999996
797.0,24075.000000000004,23.687649999999998
798.0,24078.0,23.777599999999996
799.0,24089.0,23.867549999999994
800.0,24100.0,23.957499999999996
801.0,24116.0,24.047449999999998
802.0,24133.0,24.1374
803.0,24157.0,24.227349999999994
804.0,24183.0,24.317299999999996
805.0,24205.0,24.407249999999998
806.0,24224.0,24.497199999999996
807.0,24245.0,24.587149999999998
808.0,24269.0,24.677099999999996
809.0,24298.0,24.767049999999994
810.0,24328.0,24.856999999999996
811.0,24354.0,24.949799999999996
812.0,24377.0,25.042599999999993
813.0,24400.000000000004,25.135399999999994
814.0,24427.000000000004,25.228199999999994
815.0,24459.000000000004,25.320999999999994
816.0,24490.000000000004,25.4138
817.0,24517.000000000007,25.506599999999995
818.0,24541.000000000004,25.599399999999996
819.0,24564.000000000004,25.692199999999996
820.0,24590.000000000004,25.784999999999997
821.0,24621.000000000004,25.877799999999993
822.0,24651.000000000004,25.970599999999994
823.0,24675.0,26.063399999999994
824.0,24698.000000000007,26.156199999999995
825.0,24726.000000000004,26.249
826.0,24749.0,26.341799999999996
827.0,24765.0,26.434599999999996
828.0,24779.0,26.527399999999997
829.0,24793.0,26.620199999999997
830.0,24807.0,26.712999999999994
831.0,24821.0,26.808449999999997
832.0,24835.0,26.903899999999993
833.0,24848.0,26.999349999999996
834.0,24861.0,27.094799999999996
835.0,24874.0,27.19025
836.0,24887.0,27.285699999999995
837.0,24899.0,27.381149999999995
838.0,24914.000000000004,27.476599999999998
839.0,24934.000000000004,27.572049999999994
840.0,24955.0,27.667499999999997
841.0,24971.0,27.762949999999996
842.0,24985.0,27.858399999999993
843.0,24999.0,27.953849999999996
844.0,25017.000000000004,28.049299999999995
845.0,25041.000000000007,28.144749999999995
846.0,25065.000000000004,28.240199999999994
847.0,25084.000000000004,28.335649999999998
848.0,25104.000000000007,28.431099999999997
849.0,25130.000000000004,28.526549999999993
850.0,25160.000000000004,28.621999999999996
851.0,25193.000000000004,28.719999999999995
852.0,25226.000000000004,28.817999999999998
853.0,25262.0,28.915999999999993
